person_id,case_id,cac_id,age,age_unit,address_line_1,address_line_2,city,state_abbr,zip,cell_phone_number,home_phone_number,work_phone_number,custody,education_level_id,income_level_id,marital_status_id,relationship_id,role_id,same_household,school_or_employer,victim_status_id
945775172,233542099,1,12,year,6131 Barbara Mountains,,Rickstad,DE,77777,(192)839-9812,(121)891-5876,(726)947-6117,True,,,,,,False,Monroe School,86586451
945775172,405330840,1,12,year,061 Mcpherson Crest Apt. 540,,Danielville,ME,03694,(398)840-2312,(433)760-9732,(542)106-0407,True,,,,,,True,Waverley Elementary,14023314
945775172,581460674,1,12,year,1613 Bruce Curve Suite 747,,Kentfurt,NJ,98170,(503)849-8290,(343)443-5653,(022)264-9874,True,,,,,,True,C.S. Lewis Academy,77782838
945775172,968986015,1,12,year,21103 Stewart Island Apt. 063,,West Jennifer,RI,92399,(333)744-2249,(992)044-1242,(917)293-7134,True,,,,,,False,Mary Bird Early Childhood Education Center,11650687
389780941,712688036,9,14,year,35886 Angela Mill,,South Bradley,ND,28914,(430)618-6816,(700)850-9805,(347)114-9844,False,,,,,,False,Pineview Elementary,33095098
945775172,3010300,1,12,year,5967 Michael Parks Suite 175,,Armstrongtown,OH,77091,(211)984-4961,(760)415-1756,(293)840-4111,False,,,,,,False,Candlewood Elementary,94059487
11659829,570140771,7,70,year,3239 Powell Viaduct,,Mitchellshire,NH,67879,(311)101-6616,(509)579-6465,(177)064-7231,True,,,,,,True,"Administrator, sports",39049182
945775172,674991643,1,12,year,2918 Burnett Stream Suite 869,,New Ryanchester,AL,95417,(752)735-5303,(236)815-9245,(666)671-6696,True,,,,,,True,Hugh M Cummings High,22004109
918426598,166397915,3,60,year,2103 David Flats Apt. 986,,Huffmanborough,IN,60939,(183)539-8224,(072)602-3276,(226)297-9349,False,,,,,,True,TEFL teacher,51534413
918426598,622484332,3,60,year,9929 Williams Lock Suite 423,,Bradleyland,ND,73374,(432)637-2594,(326)586-6858,(319)508-6112,False,,,,,,True,Chiropractor,58712431
389780941,983998083,9,14,year,78032 Chris Brooks Suite 829,,East Lisa,MI,13335,(657)956-0989,(224)739-0172,(997)136-8629,False,,,,,,True,Belton Elementary,79602507
945775172,970853287,1,12,year,951 Lawrence View Suite 203,,Hamptonport,LA,02720,(685)790-7356,(481)007-0619,(808)314-0898,True,,,,,,True,Starks High School,16405755
945775172,8259321,1,12,year,1063 Powell Ridge,,West Carolynchester,NV,46402,(063)541-9943,(687)272-9822,(984)501-2770,False,,,,,,False,Xenia Preschool,70666553
389780941,510478809,9,14,year,5704 Kara Way Suite 171,,Mayburgh,HI,69222,(084)217-6714,(299)536-6322,(533)406-7574,False,,,,,,False,Thomas Jefferson HS,62957762
11659829,487388475,7,70,year,9103 Erin Tunnel Apt. 593,,Oscarton,MO,25104,(155)442-0773,(313)899-6875,(536)722-4108,False,,,,,,False,Advertising account planner,43805660
918426598,440593041,3,60,year,930 Rocha Estate,,New Robertton,SD,45395,(656)889-1043,(438)743-9704,(648)707-6041,False,,,,,,False,Diagnostic radiographer,90240548
389780941,871418667,9,14,year,85262 Miles Port Apt. 115,,North Jamesfurt,WY,23322,(974)599-7582,(953)094-0431,(218)713-6848,True,,,,,,False,Stanley-Boyd High,26486267
389780941,865268431,9,14,year,7859 Baker Spring,,West Natalie,MA,87290,(450)216-6846,(173)742-0015,(727)200-6548,False,,,,,,True,GRUNDY CO. HIGH,49194069
945775172,783441316,1,12,year,41359 Dunn Land,,Matthewfort,NM,41733,(918)494-8378,(110)241-0390,(960)962-7076,False,,,,,,False,Milwaukie High School,68930852
918426598,278885990,3,60,year,0552 Alexandra Meadow,,East Joseph,CA,72779,(570)790-9098,(822)704-1065,(090)300-5128,False,,,,,,True,Special educational needs teacher,51504195
858669965,386819889,8,58,year,80909 Stafford Keys Apt. 596,,Lake Rebeccashire,NC,56589,(073)212-4777,(961)812-2020,(488)028-1625,True,,,,,,True,Estate agent,20612464
389780941,193715922,9,14,year,3322 Johnson Way Apt. 956,,Hendricksfurt,DE,96667,(462)962-8349,(101)382-4538,(092)667-2038,False,,,,,,False,Montgomery County Area Technology Center,79757508
389780941,825329260,9,14,year,040 Holmes Street Suite 618,,West Karen,CT,04873,(082)369-3800,(548)102-6174,(156)498-0452,True,,,,,,True,Monmouth County Career Center,44769657
389780941,408633058,9,14,year,0398 Palmer Court,,Port Andrewbury,NE,78480,(868)977-9679,(619)929-3504,(678)466-5623,True,,,,,,False,Dike-New Hartford Junior High School,62573499
945775172,613929680,1,12,year,99190 Evans Points,,Michaelborough,NC,07314,(442)082-1202,(438)031-8487,(104)565-2773,True,,,,,,True,Coopers Elementary,34059561
389780941,980759153,9,14,year,911 Young Skyway Suite 293,,New Kennethville,MN,24792,(261)906-6280,(267)487-5315,(079)566-0175,False,,,,,,True,BAMBER VALLEY ELEMENTARY,64115435
858669965,276829566,8,58,year,3202 Jennifer Mountains Suite 203,,Turnerfurt,OH,07744,(644)327-7874,(289)856-6831,(554)052-9421,False,,,,,,False,Biomedical engineer,97411293
918426598,706277301,3,60,year,90933 Alexander Manors Suite 501,,North Samuelfort,NY,00502,(193)614-8510,(172)966-3534,(489)113-2758,True,,,,,,False,Chartered public finance accountant,55842531
858669965,354753833,8,58,year,212 Cooper Mall Apt. 752,,Jenniferview,RI,79524,(815)919-1520,(190)021-7611,(678)409-9152,True,,,,,,True,"Pharmacist, community",17130888
389780941,981350390,9,14,year,026 Ryan Ferry Suite 083,,Lake Julia,VT,02862,(903)966-2595,(584)102-4129,(564)413-7254,True,,,,,,True,Block Island School,36348191
389780941,775393534,9,14,year,16292 Daniel Mountains,,South Jacob,UT,67666,(773)618-6206,(137)937-1695,(808)078-0304,False,,,,,,True,ZIMMERMAN HIGH SCHOOL,22694547
945775172,544213209,1,12,year,2440 Curry Falls Apt. 870,,Lake Jeremymouth,CA,74526,(899)919-6253,(077)682-0482,(123)273-5128,False,,,,,,True,ELEMENTARY SCH AT VALPARAISO,42116021
11659829,80057770,7,70,year,692 Emily Overpass Suite 278,,Garciatown,MT,30097,(440)928-3993,(960)769-6467,(840)066-5110,True,,,,,,False,Horticultural consultant,8682610
389780941,413625231,9,14,year,858 Keith Forest Apt. 026,,New Matthew,MS,64829,(957)421-2908,(646)106-2360,(956)997-3603,True,,,,,,True,Caddo Career & Technical Center,36420675
945775172,370204829,1,12,year,5789 Nolan Fall,,New Nicoleborough,IL,66119,(192)304-2511,(604)681-6053,(838)868-2290,True,,,,,,False,ST. JAMES MIDDLE,12799845
858669965,664073229,8,58,year,49047 Vasquez Forge,,West Alexisside,MA,85543,(980)266-0544,(412)843-9122,(596)777-0154,True,,,,,,False,Food technologist,6173449
11659829,539938373,7,70,year,33200 Michael Green,,Roberthaven,MN,35447,(614)885-5017,(959)756-3843,(185)985-3741,True,,,,,,False,Energy manager,70368197
945775172,989573756,1,12,year,77446 Harrell Knolls Suite 295,,Lake Robertstad,MS,80717,(085)422-3816,(951)862-4505,(980)403-6019,True,,,,,,False,Washington Elementary,23299362
858669965,100009067,8,58,year,4395 Samantha Village,,New Sandymouth,OR,88342,(949)926-2217,(531)462-7707,(324)442-7405,False,,,,,,True,Chief of Staff,41281467
389780941,840658852,9,14,year,2004 Hester Cliffs,,Burkeborough,OR,40158,(424)671-7838,(241)000-1940,(292)068-2291,True,,,,,,True,Wheatland Middle School,30158466
858669965,439439427,8,58,year,1865 Rose Square,,Port Amber,WV,04518,(833)952-0051,(338)177-7647,(612)332-3986,True,,,,,,False,"Social research officer, government",39928918
11659829,71846235,7,70,year,551 Sarah Rapid Apt. 966,,New James,OR,72824,(181)701-8128,(346)265-1354,(229)919-0818,False,,,,,,False,Hospital pharmacist,40701921
918426598,496155645,3,60,year,0702 Shelby Center Apt. 811,,Brooksland,CO,54846,(345)471-6775,(090)530-8029,(432)060-7253,True,,,,,,True,"Engineer, civil (contracting)",74375184
389780941,218668431,9,14,year,411 Burnett Rue Suite 723,,Franciscoview,AL,51540,(959)217-4697,(547)332-4383,(958)981-8437,True,,,,,,False,Loring Flemming Elementary School,52542259
11659829,288835017,7,70,year,579 Tony Views,,Ericahaven,IN,81363,(205)999-3445,(798)077-5115,(912)750-1923,True,,,,,,True,"Production assistant, radio",83993316
858669965,616322916,8,58,year,25531 William Manors Apt. 708,,Emmachester,SC,27886,(500)477-6333,(984)630-2287,(911)315-3922,False,,,,,,False,Exercise physiologist,17265793
389780941,487938230,9,14,year,308 Simmons Light,,North Dustin,LA,30077,(222)105-3284,(460)217-8894,(026)440-3201,True,,,,,,False,WAYMAN TISDALE FINE ARTS ACAD,50996847
858669965,661437588,8,58,year,35380 Gallagher Hollow Apt. 999,,Lake Dennis,VT,89382,(304)545-5016,(824)662-4777,(681)157-8065,False,,,,,,True,Museum/gallery curator,9902986
918426598,260522090,3,60,year,9955 Downs Forest,,New Malloryborough,NE,14673,(976)995-2659,(548)532-4677,(669)314-1592,False,,,,,,True,Chartered loss adjuster,24021237
858669965,564310082,8,58,year,40712 Cummings Manor Suite 700,,Nelsonview,WA,53147,(721)697-8072,(745)456-2140,(524)829-5402,False,,,,,,False,"Administrator, charities/voluntary organisations",30847866
858669965,240573214,8,58,year,159 Hayes Crossing Apt. 702,,East Philliptown,NM,29709,(777)722-7969,(834)014-8349,(691)568-5245,True,,,,,,False,"Teacher, English as a foreign language",5527094
389780941,815931533,9,14,year,70624 Matthew Highway Suite 058,,North Lisa,DE,12938,(460)831-1675,(858)410-6621,(291)849-3516,True,,,,,,True,Sanford High School,47542550
945775172,732455181,1,12,year,3101 Sean Stream,,Lake Lawrenceshire,CA,26287,(302)092-4237,(094)710-2851,(763)395-3760,True,,,,,,False,Orville H. Platt High School,33037621
389780941,128001707,9,14,year,01718 Andrews Square Suite 729,,North John,MA,26335,(180)067-2707,(814)819-4185,(827)637-3129,False,,,,,,False,Southridge Tech Middle,18635713
389780941,610983217,9,14,year,6913 Griffith Junction Suite 797,,Lake Lisa,VA,05051,(377)555-4198,(958)324-9743,(451)499-0829,False,,,,,,True,Shining Rock Classical Academy: CFA,28624534
945775172,474950860,1,12,year,4871 Colleen Springs,,South Saraport,MT,96930,(248)924-7811,(023)986-4191,(279)542-0673,False,,,,,,True,Pumpkin Center Intermediate,60466292
858669965,560140788,8,58,year,288 Roberts Causeway Apt. 943,,Turnerland,NJ,95957,(121)386-1043,(078)640-7213,(116)289-2134,False,,,,,,False,Agricultural engineer,29173363
11659829,271058290,7,70,year,1288 Salas Loaf,,East Samuel,NC,61351,(893)151-1935,(900)599-9147,(260)620-4696,True,,,,,,False,Copy,81972178
945775172,467022707,1,12,year,138 George Divide Apt. 455,,Thomasfurt,KY,76908,(764)651-8854,(244)115-9916,(991)080-9188,True,,,,,,True,Westport Junior/Senior High School,57726751
945775172,983455840,1,12,year,273 Barnes Ferry,,Reidview,CT,56575,(246)520-7277,(445)036-1360,(476)765-2333,False,,,,,,True,Rachel Carson Elementary,76747979
858669965,33811312,8,58,year,03936 Williams Mission Apt. 889,,Wilsonhaven,ME,28843,(137)686-2635,(190)039-3388,(959)802-9638,False,,,,,,True,Public house manager,5267820
389780941,649062603,9,14,year,94795 Michael Manors,,Johnnyview,AK,91944,(653)808-0144,(460)936-9682,(150)109-0409,True,,,,,,False,Merrill Elementary School,17181757
11659829,996600296,7,70,year,8867 Thomas Forks,,Merrittborough,NY,88412,(230)156-5793,(427)560-5992,(161)291-6995,False,,,,,,True,"Designer, industrial/product",33461595
945775172,348706372,1,12,year,63546 Angela Springs,,Amandaberg,CT,88403,(874)395-8281,(829)295-8997,(247)465-0656,False,,,,,,False,Kelloggsville Early Childhood Learning Center,16528442
918426598,273013669,3,60,year,0087 Matthew Vista Apt. 934,,Morrisside,TX,56316,(360)241-2859,(335)206-0554,(210)084-2300,False,,,,,,True,Financial planner,16201274
858669965,203492826,8,58,year,819 Christopher Crossing Suite 160,,South Davidview,NJ,76401,(568)014-1994,(558)000-3627,(755)212-7206,True,,,,,,False,"Scientist, research (medical)",94788619
858669965,525932783,8,58,year,584 James Orchard,,Port Tracymouth,NM,61335,(931)591-7483,(972)601-2187,(429)744-3529,False,,,,,,True,English as a second language teacher,93577538
918426598,127771359,3,60,year,258 Lindsay Views Suite 951,,Joland,CO,52774,(505)710-7325,(931)514-1431,(635)329-8625,False,,,,,,True,Sales promotion account executive,82360223
945775172,186018842,1,12,year,25227 Gonzalez Streets Apt. 181,,Fowlerton,ID,33919,(507)171-0073,(103)194-9780,(527)341-3732,True,,,,,,False,Mintie White Elementary,13418542
945775172,817300381,1,12,year,33479 Brandon Lakes,,New Meganshire,UT,81398,(847)664-7466,(474)962-6687,(210)406-6614,True,,,,,,True,Toltecali High School,20760278
918426598,176716091,3,60,year,86045 Miranda Extension,,Douglasside,KY,37348,(597)727-4801,(042)244-6060,(106)627-5519,True,,,,,,False,Occupational psychologist,21529530
918426598,539894154,3,60,year,101 Romero River,,West Glendafort,ME,38484,(713)991-8968,(673)388-9785,(911)584-0908,False,,,,,,False,"Buyer, industrial",49109236
11659829,65424929,7,70,year,5144 Cobb Meadow Suite 154,,West Katie,ID,16635,(394)246-1166,(549)757-7599,(642)045-0882,True,,,,,,False,Broadcast engineer,26211957
858669965,917970341,8,58,year,0148 Maria Keys Suite 680,,Woodville,IL,44385,(670)547-3915,(873)538-8395,(132)630-0433,True,,,,,,True,Clinical cytogeneticist,16198543
389780941,51823409,9,14,year,7177 Diaz Common Apt. 443,,Matthewshire,ID,72697,(871)713-7933,(875)410-1821,(850)438-3517,True,,,,,,True,Gaston Elementary,97521561
858669965,657089811,8,58,year,327 Justin Place Suite 482,,North Stephanieburgh,GA,39859,(885)521-7735,(689)236-6254,(704)701-4723,False,,,,,,True,"Scientist, forensic",10550946
11659829,829677108,7,70,year,60996 Ponce Lodge,,West Denise,KS,37122,(102)667-0363,(075)000-5682,(089)837-7362,True,,,,,,True,"Runner, broadcasting/film/video",298690
858669965,580427539,8,58,year,310 Jacob Mountain,,Lake Stephaniechester,SC,37489,(369)836-0595,(323)824-3603,(496)100-4199,True,,,,,,False,Maintenance engineer,73097518
11659829,535868579,7,70,year,858 Kristina Shoals,,Pattersontown,MI,16677,(838)299-2374,(658)992-9728,(383)666-0069,False,,,,,,True,Best boy,70242667
858669965,688416511,8,58,year,713 Nancy Passage,,West Mariofort,MN,91888,(632)480-4816,(146)014-4468,(744)241-5545,True,,,,,,True,Banker,26532478
11659829,288444318,7,70,year,2634 Matthew Garden,,Lake Carol,WV,54270,(131)609-9485,(025)021-6351,(585)389-2361,True,,,,,,True,"Accountant, chartered public finance",59883308
