cac_id,person_id,first_name,middle_initial,last_name,suffix,date_of_birth,gender,language_id,race_id,religion_id,prior_convictions,convicted_against_children,sexual_offender,sexual_predator
1,945775172,Ryan,Steven,Horton,,2012-12-15,M,,,,False,False,False,False
8,858669965,Anthony,Stephen,Reid,,1967-04-15,M,,,,False,True,True,True
7,11659829,Christie,Melinda,Miller,,1954-12-13,F,,,,False,False,False,False
3,918426598,Adam,John,Garcia,,1964-12-26,M,,,,False,False,False,False
9,389780941,Charles,Mitchell,Gray,,2011-02-26,M,,,,False,False,False,False
3,617604807,William,Patrick,Roberson,,2002-04-23,M,,,,False,False,False,False
3,362026650,Derek,James,Williams,,1957-07-06,M,,,,False,False,False,False
3,643860346,Logan,David,Garcia,,2006-09-08,M,,,,False,False,False,False
8,803586101,Kyle,Steven,Robinson,,1957-02-03,M,,,,False,False,False,False
9,615048739,Christina,Vicki,Hansen,,1933-08-06,F,,,,False,False,False,False
1,686655294,John,Steven,Henry,,1927-10-21,M,,,,False,False,False,False
1,846830719,Karen,Susan,Tran,,1925-05-15,F,,,,False,False,False,False
8,73602687,Stephen,Derrick,Patton,,1925-12-11,M,,,,False,True,False,False
8,841270406,Shane,Kevin,Stanley,,2000-10-14,M,,,,False,False,False,False
9,848014476,Christina,Kimberly,Jarvis,,2005-01-19,F,,,,False,False,False,False
9,648689784,James,Michael,Holmes,,2001-10-30,M,,,,False,False,False,True
9,388194610,Cynthia,Courtney,Carroll,,1966-10-15,F,,,,False,False,False,False
3,137779590,Julie,Alyssa,Figueroa,,1931-02-23,F,,,,False,False,False,False
1,712783984,Nicholas,Mitchell,Davis,,1993-09-30,M,,,,False,False,False,True
7,243554679,Noah,Timothy,Simpson,,2013-01-21,M,,,,False,False,False,False
1,779954621,Patrick,Brandon,Young,,1945-01-13,M,,,,False,False,False,False
9,629861338,Dustin,Edward,Brown,,1999-08-04,M,,,,False,False,False,False
1,685718493,Susan,Brittany,Thomas,,1999-01-15,F,,,,False,False,False,False
7,933672773,Willie,John,Williams,,1990-07-04,M,,,,False,False,False,False
7,798594220,April,Deborah,Peterson,,1953-04-27,F,,,,False,False,False,False
1,421558971,Caroline,Michelle,Smith,,1962-04-28,F,,,,True,False,False,False
7,69137374,Molly,Karen,Ferguson,,1964-12-03,F,,,,False,False,False,False
7,365444975,Cole,Donald,Crawford,,1931-12-21,M,,,,True,True,False,True
8,8754789,Collin,John,Hood,,1939-06-24,M,,,,False,False,False,False
7,835988239,Scott,Donald,Martin,,1992-02-28,M,,,,True,True,False,False
3,674048032,Thomas,Darryl,Nelson,,2015-11-24,M,,,,False,False,False,False
1,882221933,Anthony,Anthony,Lopez,,1982-10-11,M,,,,False,False,False,False
7,484888129,Roger,Andrew,Taylor,,1940-03-09,M,,,,False,True,False,False
7,5163121,Tricia,Amy,Ross,,1948-03-07,F,,,,False,False,False,False
1,198724153,Todd,Darrell,Riley,,1998-04-17,M,,,,False,False,False,False
8,774497854,John,Brady,Herrera,,1930-08-30,M,,,,False,False,False,False
8,130894880,Daniel,James,Martin,,1952-10-17,M,,,,False,False,False,False
7,115683424,Michael,Anthony,Snow,,2014-08-18,M,,,,False,False,False,False
3,777698353,Sean,Edward,Osborne,,2007-07-28,M,,,,False,False,False,False
1,755666928,Christopher,Matthew,White,,1944-11-14,M,,,,False,False,False,False
7,295018813,Cynthia,Diane,Moreno,,2016-02-01,F,,,,False,False,False,False
8,6718867,Ashley,Lisa,Jenkins,,2006-05-21,F,,,,True,False,True,False
1,498384364,Eric,Kenneth,Fernandez,,1931-06-11,M,,,,False,False,True,False
1,338447643,Sherri,Cynthia,Roberson,,1995-12-22,F,,,,False,False,False,True
3,926583344,Ryan,Sean,Guerrero,,2009-01-02,M,,,,True,False,False,False
9,75897738,Christopher,David,Heath,,1958-07-24,M,,,,False,False,False,False
8,24799829,Joy,Lisa,Meza,,1997-10-15,F,,,,False,True,False,False
8,99363396,Ryan,Daniel,Wilson,,2011-07-14,M,,,,False,False,False,False
9,347839797,Joshua,Nicholas,Preston,,1952-03-28,M,,,,False,False,False,False
1,621738268,Curtis,Thomas,Dyer,,2008-04-15,M,,,,False,False,False,False
3,319071950,Samantha,Ariel,Garcia,,1968-12-14,F,,,,False,False,False,False
8,210354800,Jason,Keith,Hernandez,,2022-04-06,M,,,,False,False,False,False
8,957043807,Richard,Thomas,Hoffman,,1949-08-26,M,,,,False,False,False,False
3,94130466,Craig,Devin,Watson,,1990-07-21,M,,,,True,False,False,False
8,262698212,Evan,William,Clark,,1946-02-03,M,,,,True,False,False,False
9,961742203,Donna,Tonya,Bell,,1979-09-13,F,,,,False,False,False,True
9,313615271,Micheal,James,Carr,,1984-02-22,M,,,,True,False,False,True
1,187567402,Amanda,Molly,Randolph,,1970-06-30,F,,,,False,False,False,False
9,604656400,Derrick,Shaun,Cortez,,1978-01-18,M,,,,False,False,True,False
1,314851753,Andrea,Kayla,Benson,,1928-06-25,F,,,,False,False,False,False
8,224897662,Katrina,Lisa,Munoz,,2011-11-13,F,,,,False,False,False,False
1,815532902,Summer,Monique,Weaver,,1934-10-21,F,,,,False,False,False,False
9,518813834,Scott,David,Powell,,1936-10-21,M,,,,False,False,False,False
1,138506041,Veronica,Michele,Rosario,,1933-03-19,F,,,,False,False,False,False
8,991702285,Matthew,Patrick,Cabrera,,2015-10-24,M,,,,False,False,False,False
9,18851183,Danielle,Patricia,King,,1954-03-02,F,,,,False,False,False,False
1,494614320,Andrew,Gary,Castaneda,,1995-03-27,M,,,,False,False,False,False
8,255346911,Jessica,Stephanie,Lopez,,1987-03-16,F,,,,False,False,False,False
7,105584057,Jeffrey,David,Jones,,1990-11-14,M,,,,False,False,False,True
9,845478973,Sandy,Michelle,Morgan,,1938-03-15,F,,,,False,False,False,False
3,260213274,Joshua,Brian,Park,,2006-11-20,M,,,,False,False,False,True
1,595167103,Jonathan,John,Perry,,1948-01-03,M,,,,False,False,False,False
7,966460562,Jennifer,Kristi,Garza,,1958-01-13,F,,,,False,False,False,False
8,195004525,Jennifer,Michelle,Brown,,1968-10-28,F,,,,False,False,False,False
3,537378532,Jeanne,Amber,Castillo,,2014-01-05,F,,,,False,False,False,False
9,778947818,Chelsea,Crystal,Taylor,,1971-09-06,F,,,,False,False,False,False
9,611749141,Michael,Jerome,Rivera,,1981-10-30,M,,,,False,False,False,False
9,546572487,Dean,Timothy,Medina,,1931-11-27,M,,,,False,False,False,False
9,76617165,Dale,Richard,Cook,,1934-01-05,M,,,,False,False,False,False
8,156164527,Kayla,Elizabeth,Ellis,,1989-01-01,F,,,,False,False,False,False
8,217791575,Virginia,Stephanie,Santana,,1970-03-17,F,,,,False,True,False,True
7,873634914,Matthew,Matthew,Horton,,1946-09-29,M,,,,False,False,False,False
7,303187221,Samuel,James,Rodriguez,,1976-04-04,M,,,,False,False,False,False
3,105025209,Kim,Erin,Turner,,2018-02-13,F,,,,False,False,False,False
8,690361785,Christopher,Carlos,Moreno,,2006-07-27,M,,,,False,False,True,False
7,352248708,Briana,Heather,Thompson,,1988-01-16,F,,,,False,False,False,False
9,324783008,Matthew,Daniel,Parks,,1975-07-07,M,,,,False,False,False,False
3,221908590,Nicole,Taylor,Townsend,,1994-06-13,F,,,,False,True,True,False
3,620401723,Jim,Thomas,Malone,,2021-10-13,M,,,,False,False,False,False
8,83878669,Pamela,Christina,Barton,,1990-10-30,F,,,,True,False,False,False
8,976455075,Kristina,Ashlee,Pierce,,1941-07-05,F,,,,True,False,False,False
8,343041372,Nicholas,Mitchell,Green,,1998-01-04,M,,,,False,False,True,False
3,312809303,Dana,Katherine,Lozano,,2005-12-26,F,,,,False,True,False,False
9,649927001,Rachel,Mary,Mcintosh,,1994-01-06,F,,,,False,False,False,False
9,504542923,Ronnie,Jordan,Higgins,,1992-06-28,M,,,,False,False,False,False
3,534530862,David,Donald,Holder,,1936-08-31,M,,,,False,False,False,True
9,559094469,Jessica,Patricia,Jordan,,1977-06-17,F,,,,False,False,False,False
9,80017575,Carol,Nicole,Jensen,,1975-03-30,F,,,,False,False,False,False
7,514699120,Tony,Christopher,Garza,,1971-12-19,M,,,,False,False,False,False
8,409286399,Anna,Kristen,Joyce,,1958-09-09,F,,,,False,True,False,False
1,858044079,Samantha,Stephanie,Griffin,,1972-06-18,F,,,,False,False,False,False
3,291879811,Cheryl,Tiffany,Downs,,1972-04-18,F,,,,False,False,False,False
7,917589926,Amanda,Laurie,Olsen,,2003-06-08,F,,,,False,False,False,False
8,608042666,Maria,Robyn,Hubbard,,2016-01-21,F,,,,False,False,False,False
7,27524683,Joseph,Michael,Ellis,,2015-10-29,M,,,,False,False,False,False
8,804254087,Crystal,Melissa,Johnson,,1970-06-10,F,,,,False,False,False,True
8,94076572,Cheryl,Jennifer,Perez,,1934-10-15,F,,,,False,False,False,False
9,8939823,Andrew,Brian,Lee,,1970-10-05,M,,,,False,False,False,False
7,540674061,Deborah,Christine,Parks,,1986-08-19,F,,,,False,False,False,True
9,311496357,Timothy,Isaac,Fuller,,1973-11-19,M,,,,False,False,False,False
8,990417468,Kenneth,Jonathan,Harris,,1997-09-24,M,,,,False,False,False,False
9,308873119,Richard,Joshua,Shaw,,1933-07-12,M,,,,False,False,True,False
3,498652775,Tina,Mary,Oconnell,,1940-12-29,F,,,,False,False,False,False
1,356235837,Raymond,Brian,Rodgers,,2014-11-26,M,,,,False,False,False,False
3,911277336,Jennifer,Susan,Combs,,2022-04-03,F,,,,False,False,False,False
1,621584746,Megan,Whitney,Vazquez,,1991-11-22,F,,,,False,False,False,False
3,237533929,Kelly,Amanda,Brennan,,1956-01-10,F,,,,False,False,False,False
1,784068265,Deborah,Kim,Marquez,,1965-03-14,F,,,,False,False,False,False
9,489738793,Andrea,Barbara,Harrison,,2013-01-17,F,,,,False,False,False,False
8,605895691,Amy,Shannon,Contreras,,1938-04-09,F,,,,False,False,False,False
8,817927510,Brandon,Brian,Wheeler,,1925-04-24,M,,,,False,True,False,False
8,364263205,Lori,Marissa,Jones,,2021-09-15,F,,,,False,False,False,False
1,778806554,Kelsey,Cathy,Bell,,1929-11-01,F,,,,False,False,True,False
3,424287197,Eric,Barry,Davis,,1959-05-01,M,,,,False,True,True,False
7,236537595,Michele,Jill,Barton,,2016-11-16,F,,,,False,False,False,False
1,779911684,Gabriel,Edward,Williams,,1930-11-12,M,,,,False,False,True,False
1,942157127,Alicia,Cassie,Daniels,,1971-10-04,F,,,,True,False,False,True
7,467159580,Vickie,Megan,Smith,,1965-08-06,F,,,,False,False,False,False
9,140697164,Jerry,Taylor,Benson,,2014-02-20,M,,,,False,False,False,False
8,592967792,Lori,Lisa,Keller,,1957-12-11,F,,,,True,False,False,False
1,357164089,Jason,Joel,Hurst,,1963-10-18,M,,,,False,False,False,False
3,319752569,Steven,Kenneth,Scott,,1949-03-18,M,,,,True,True,True,False
3,170470615,Christopher,Brett,Herrera,,1990-04-15,M,,,,False,False,False,False
1,594983411,Alan,Joseph,Faulkner,,1939-01-16,M,,,,False,False,True,False
8,248452189,Melanie,Kristie,May,,1946-08-05,F,,,,False,False,False,True
1,84891652,Stephen,David,Cameron,,1978-09-10,M,,,,False,False,False,False
9,411868506,Adam,Casey,Valencia,,2020-11-23,M,,,,False,False,False,False
7,609881662,Jose,Ronald,Warner,,1956-12-27,M,,,,False,False,False,False
8,91138724,Renee,Margaret,Harmon,,1966-01-05,F,,,,False,False,False,False
9,107669339,Christopher,Todd,Christian,,1935-08-12,M,,,,False,False,False,False
3,956463470,Debbie,Jessica,Allen,,2017-10-22,F,,,,False,False,False,False
3,513814308,Jonathan,David,Williams,,1969-12-04,M,,,,False,False,False,False
1,233277638,Felicia,Rose,King,,1942-02-19,F,,,,False,False,False,False
9,298134338,David,Joseph,Aguirre,,1953-11-29,M,,,,False,False,False,False
1,105715011,Heather,Tanya,Snyder,,1980-02-11,F,,,,False,False,False,False
8,539165598,Mike,Michael,Olson,,2006-07-12,M,,,,False,False,False,False
1,138152439,Cheryl,Jill,Cooke,,2002-03-24,F,,,,False,True,False,False
8,151375389,Melissa,Jennifer,Rush,,1954-10-05,F,,,,False,False,False,False
7,650293672,Donald,James,Hughes,,1942-03-16,M,,,,False,False,False,True
7,432316110,Christopher,Christopher,Martinez,,1946-05-03,M,,,,False,False,False,False
