cac_id,person_id,first_name,middle_initial,last_name,suffix,date_of_birth,gender,language_id,race_id,religion_id,prior_convictions,convicted_against_children,sexual_offender,sexual_predator
5,431879505,Ami,Karen,Black,,1990-11-13,F,,,,False,True,True,False
8,109064883,Amy,Carla,Black,,1929-08-06,F,,,,False,False,False,False
8,611345019,Steve,Sean,Jordan,,1957-09-12,M,,,,False,False,False,False
5,278316270,Tina,Jennifer,Alvarado,,1935-01-01,F,,,,False,False,False,False
5,255361273,Ashley,Melinda,Mendoza,,2021-09-13,F,,,,False,False,False,False
8,862067624,Sherry,Ashley,Lewis,,1999-04-21,F,,,,False,True,False,False
3,367808489,Sean,Corey,Bowers,,1934-07-15,M,,,,False,False,False,False
8,558687844,Raymond,Lee,Thornton,,1928-09-17,M,,,,False,False,True,False
8,941074151,Brian,Randy,Mitchell,,1990-04-08,M,,,,False,False,False,False
10,813838702,Shane,Shane,Green,,1965-02-18,M,,,,False,False,False,False
5,261596065,Randy,Joseph,Pratt,,1966-08-19,M,,,,True,False,False,True
5,59545771,David,Christopher,Keller,,1985-10-21,M,,,,True,True,False,False
7,338422190,Andrea,Lori,Hall,,1992-06-03,F,,,,False,False,False,True
7,477346447,Michael,Daniel,Perkins,,1955-01-13,M,,,,False,False,False,False
7,914812113,Amber,Briana,Villarreal,,1933-08-22,F,,,,False,True,True,True
3,117867175,Karen,Andrea,Hughes,,2013-03-15,F,,,,False,False,False,False
3,663558372,Wesley,Jesse,Evans,,1962-11-07,M,,,,False,True,False,False
8,474763301,Shelby,Kimberly,Mcmahon,,1997-12-29,F,,,,False,False,False,False
10,510865746,Kelly,Angela,Lawson,,1947-03-05,F,,,,False,False,False,False
10,110661368,Carrie,Sarah,Little,,1990-06-30,F,,,,False,True,False,False
7,884317010,Jennifer,Jessica,Martinez,,2001-01-06,F,,,,False,False,False,False
3,66510802,Meredith,Hailey,Ward,,1933-04-20,F,,,,False,False,False,False
7,231421356,Meredith,Hannah,Perkins,,1986-03-12,F,,,,False,False,False,False
8,989863997,Sandy,Alyssa,Zimmerman,,2017-08-14,F,,,,False,False,False,False
3,119520933,Mark,Robert,Acosta,,2014-08-11,M,,,,False,False,False,False
7,915080351,Christopher,Brandon,Fuentes,,2014-10-06,M,,,,False,False,False,False
7,763985314,Christopher,Anthony,Hale,,1994-01-29,M,,,,False,True,False,False
3,77470681,Paul,David,Baker,,1982-01-20,M,,,,False,False,False,True
8,814068560,Larry,Eric,Smith,,1967-05-16,M,,,,False,False,False,False
5,706072844,Beth,Jennifer,Douglas,,1994-08-03,F,,,,False,True,False,False
5,53554583,Terri,Dana,Finley,,1971-07-14,F,,,,False,False,False,False
10,164303771,Michelle,Sandy,Gill,,2006-12-13,F,,,,False,False,False,False
7,781077399,Joseph,Billy,Smith,,2012-01-02,M,,,,False,False,False,False
3,755441931,Cynthia,Maria,Cox,,1967-04-16,F,,,,True,False,False,False
7,310928215,Ashley,Mindy,Cooper,,2009-09-10,F,,,,False,False,False,False
8,987004691,Ryan,Alex,Mitchell,,2004-03-10,M,,,,False,True,False,False
8,856382843,Susan,Ann,Cardenas,,1954-12-26,F,,,,False,False,False,False
7,986964451,Paul,Keith,Harris,,1966-11-07,M,,,,False,False,False,False
3,340875632,Caitlin,Gina,Garcia,,1934-09-29,F,,,,True,True,True,False
7,368596342,Steve,Cameron,Campos,,1989-02-15,M,,,,False,False,False,False
5,38823448,Jeffrey,Chris,Reed,,1963-04-10,M,,,,False,False,False,True
10,234742554,Emily,Paula,Harris,,2007-12-28,F,,,,False,False,True,False
3,572121151,Kristin,Heidi,Smith,,1969-10-24,F,,,,False,False,False,False
10,812136287,Brian,Troy,Waters,,1963-01-11,M,,,,False,False,False,False
10,113778165,Emily,Heather,Brown,,2013-04-04,F,,,,False,False,False,False
5,651167404,Russell,Carlos,Harris,,1933-11-04,M,,,,False,False,False,False
7,739257887,Jessica,Christie,Washington,,1954-12-27,F,,,,False,False,False,False
10,209356865,Sheri,Andrea,Flores,,1999-06-05,F,,,,False,False,False,True
10,627490552,Ashley,Caroline,Montgomery,,1965-02-21,F,,,,False,False,False,False
5,187899461,Jeffrey,Manuel,Medina,,1992-10-06,M,,,,False,False,False,False
